Set,Card Name,Collector Number,Rarity,Colour,Mana Cost,Card Type,Subtype,Power,Toughness,Oracle Text / Ability,Legendary?,Creature Type,Ring Tempts You?,Food?,Treasure?,Ring / The One Ring Synergy?,Aragorn Synergy (1-5),Gandalf Synergy (1-5),Fellowship / Legends Synergy (1-5),Commander Role,Owned?,Notes
The Hobbit,Gathering of Darkness,68,U,B,{3}{B},Sorcery,,,,"Return up to one target creature card from your graveyard to your hand.
Amass Goblins 3. (Put three +1/+1 counters on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Giant's Boulder,173,C,Colourless,{1},Artifact,,,,"When this artifact enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
{1}, {T}: Add one mana of any color.
{7}, {T}, Sacrifice this artifact: Destroy target permanent.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Glóin the Mighty // Easy Pickings,99,U,R,{3}{R} // {2}{R},Creature // Sorcery,Dwarf Warrior // Adventure,4,3,"Glóin the Mighty:
At the beginning of your first main phase, add {R}{R}.
//
Easy Pickings:
Easy Pickings deals 1 damage to each creature your opponents control. (Then exile this card. You may cast the creature later from exile.)",Yes,Dwarf Warrior,No,No,No,No,,,,,Yes,
The Hobbit,Gnashing of Teeth,69,U,B,{1}{B}{B},Sorcery,,,,"Choose one —
• Target creature gets -5/-5 until end of turn. If that creature would die this turn, exile it instead.
• Creatures target player controls get -1/-1 until end of turn.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Goblin Plate Mail,157,C,Multicolour,{1}{B/R},Artifact,Equipment,,,"When this Equipment enters, amass Goblins 1, then attach this Equipment to the amassed Army. (To amass Goblins 1, put a +1/+1 counter on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)
Equipped creature gets +1/+0 and has menace.
Equip {4}",No,,No,No,No,No,,,,,Yes,
The Hobbit,Goblin-town,183,C,Land,,Land,,,,"This land enters tapped.
{T}: Add {B} or {R}.
{2}{B}{R}, {T}, Sacrifice this land: Put two +1/+1 counters on target Goblin or Orc you control. Activate only as a sorcery.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Goblin-town Flunkies,100,C,R,{1}{R},Creature,Goblin Soldier,1,1,"Haste
When this creature enters, amass Goblins 1. (Put a +1/+1 counter on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)",No,Goblin Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Gollum the Abandoned,72,U,B,{1}{B},Creature,Halfling Horror,2,2,"Gollum can't block.
When Gollum enters, exile up to one target card from an opponent's graveyard. Each opponent loses 2 life.
{2}, Sacrifice an artifact or creature: Return this card from your graveyard to your hand. Activate only as a sorcery.",Yes,Halfling Horror,No,No,No,No,,,,,Yes,
The Hobbit,"Gollum, Silent Slinker // Meager Meal",71,C,B,{3}{B} // {B},Creature // Sorcery,Halfling Horror // Adventure,4,3,"Gollum, Silent Slinker:
Menace (This creature can't be blocked except by two or more creatures.)
//
Meager Meal:
Put a +1/+1 counter on up to one target creature. Target player gains 2 life. (Then exile this card. You may cast the creature later from exile.)",Yes,Halfling Horror,No,No,No,No,,,,,Yes,
The Hobbit,Great Fierce Bee,73,C,B,{2}{B},Creature,Insect,2,2,"Flying
Whenever one or more other creatures die, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",No,Insect,No,No,No,No,,,,,Yes,
The Hobbit,Great Ugly-Looking Goblin // Clap! Snap!,74,U,B,{5}{B} // {1}{B},Creature // Sorcery,Goblin Soldier // Adventure,4,4,"Great Ugly-Looking Goblin:
Each creature you control with a +1/+1 counter on it has menace. (It can't be blocked except by two or more creatures.)
//
Clap! Snap!:
Amass Goblins 2. (Then exile this card. You may cast the creature later from exile.)",No,Goblin Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Guardian of the Halls,127,C,G,{1}{G},Creature,Elf Soldier,2,2,"Trample
{5}{G}{G}: Put three +1/+1 counters on this creature.",No,Elf Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Gundabad Opportunist,101,C,R,{3}{R},Creature,Goblin Rogue,4,2,"When this creature enters, exile the top card of your library. Until the end of your next turn, you may play that card.",No,Goblin Rogue,No,No,No,No,,,,,Yes,
The Hobbit,Hobbit Hole,184,C,Land,,Land,,,,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Halflingcycling {4} ({4}, Discard this card: Search your library for a Halfling card, reveal it, put it into your hand, then shuffle.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Iron Hills,185,C,Land,,Land,,,,"This land enters tapped.
{T}: Add {R} or {W}.
{2}{R}{W}, {T}, Sacrifice this land: Put two +1/+1 counters on target Dwarf you control. Activate only as a sorcery.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Iron Hills Blacksmith,16,U,W,{1}{W},Creature,Dwarf Artificer,1,1,"Double strike
When this creature enters, create a colorless Equipment artifact token named Axe with ""Equipped creature gets +1/+0"" and equip {2}.",No,Dwarf Artificer,No,No,No,No,,,,,Yes,
The Hobbit,Iron Hills Stalwart,102,C,R,{4}{R},Creature,Dwarf Warrior,4,5,"Reach, trample
When this creature enters, attach target Equipment you control to up to one target creature you control.",No,Dwarf Warrior,No,No,No,No,,,,,Yes,
The Hobbit,Key to the Side-Door,175,U,Colourless,{1},Artifact,,,,"{2}, {T}: Target creature can't be blocked this turn.
{1}, {T}, Discard a legendary card with the same name as a legendary permanent you control: Draw two cards.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Kíli the Resourceful,17,R,W,{1}{W},Creature,Dwarf Scout,1,2,"Storied (If you control three or more artifacts, legendaries, and/or Sagas, you have an enduring story for the rest of the game.)
As long as you have an enduring story, you may pay {0} rather than pay the equip cost of the first equip ability you activate each turn.
Whenever another Dwarf or Equipment you control enters, draw a card. This ability triggers only once each turn.",Yes,Dwarf Scout,No,No,No,No,,,,,Yes,Name corrected from 'Kill the Resourceful'.
The Hobbit,Lake-town,186,C,Land,,Land,,,,"This land enters tapped.
{T}: Add {W} or {U}.
{2}{W}{U}, {T}, Sacrifice this land: Put two +1/+1 counters on target Human you control. Activate only as a sorcery.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Lake-town Lookout,18,C,W,{W},Creature,Human Scout,1,1,"When this creature dies, recruit. (Draw a card, then discard a card. If you discarded a nonland card, create a 1/1 white Human Soldier creature token.)",No,Human Scout,No,No,No,No,,,,,Yes,
The Hobbit,Lake-town Mariners // Gone Fishing,44,U,U,{4}{U}{U} // {3}{U},Creature // Instant,Human Citizen // Adventure,6,5,"Lake-town Mariners:
Vigilance
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
//
Gone Fishing:
Exile two target creatures and/or lands you control, then return them to the battlefield under their owner's control.",No,Human Citizen,No,No,No,No,,,,,Yes,
The Hobbit,Lake-town Toymaker,19,U,W,{3}{W},Creature,Human Artificer,3,4,"At the beginning of combat on your turn, if you've drawn two or more cards this turn, another target creature you control gets +3/+0 and gains first strike until end of turn.",No,Human Artificer,No,No,No,No,,,,,Yes,
The Hobbit,Lakeshore Apothecary,43,C,U,{1}{U},Creature,Human Cleric,1,2,"Vigilance
Whenever you draw your second card each turn, put a +1/+1 counter on this creature.",No,Human Cleric,No,No,No,No,,,,,Yes,
The Hobbit,Large Bear,159,U,Multicolour,{3}{B/G}{B/G},Creature,Bear,5,5,"Reach, trample, haste",No,Bear,No,No,No,No,,,,,Yes,
The Hobbit,Little Bear,128,C,G,{2}{G},Creature,Bear,3,2,"Flash
When this creature enters, untap another target creature you control. If that creature is a Bear, put a +1/+1 counter on it.",No,Bear,No,No,No,No,,,,,Yes,
The Hobbit,Long Lake Nuisance,45,C,U,{3}{U},Creature,Bird,3,1,"Flying
When this creature enters, recruit. (Draw a card, then discard a card. If you discarded a nonland card, create a 1/1 white Human Soldier creature token.)",No,Bird,No,No,No,No,,,,,Yes,
The Hobbit,Long-Bodied Grey Dog,1,C,Colourless,{3},Creature,Dog,2,2,"Flash
Reach
When this creature enters, create a tapped Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",No,Dog,No,No,Yes,No,,,,,Yes,
The Hobbit,Magnificent End,20,C,W,{4}{W},Instant,,,,"This spell costs {3} less to cast if it targets a tapped creature.
Magnificent End deals 5 damage to target creature.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Master's Councillors,47,U,U,{1}{U},Creature,Human Advisor,1,3,"Vigilance
This creature gets +2/+0 for each graveyard with seven or more cards in it.
Whenever you draw your second card each turn, target player mills three cards. (They put the top three cards of their library into their graveyard.)",No,Human Advisor,No,No,No,No,,,,,Yes,
The Hobbit,Mirkwood,188,C,Land,,Land,,,,"This land enters tapped.
{T}: Add {B} or {G}.
{2}{B}{G}, {T}, Sacrifice this land: Put two +1/+1 counters on target Bear, Spider, or Wolf you control. Activate only as a sorcery.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Mirkwood Meditator,48,C,U,{2}{U},Creature,Elf Druid,2,4,"Landfall — Whenever a land you control enters, you may have this creature's base power and toughness become 4/2 until end of turn.",No,Elf Druid,No,No,No,No,,,,,Yes,
The Hobbit,Mirkwood Nurturer,160,C,Multicolour,{2}{G/U},Creature,Elf Ranger,3,2,"When this creature enters, return up to one other target permanent you control to its owner's hand. If you do, put a +1/+1 counter on this creature.",No,Elf Ranger,No,No,No,No,,,,,Yes,
The Hobbit,Mirkwood Pathmaker,129,U,G,{2}{G},Creature,Elf Ranger,*,*,Mirkwood Pathmaker's power and toughness are each equal to the number of lands you control.,No,Elf Ranger,No,No,No,No,,,,,Yes,
The Hobbit,Misty Mountains Raider,105,U,R,{4}{R},Creature,Goblin Soldier,4,4,"Whenever you attack, amass Goblins 2. (Put two +1/+1 counters on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)",No,Goblin Soldier,No,No,No,No,,,,,Yes,
The Hobbit,Moment of Glory,21,C,W,{W},Sorcery,,,,"Put a +1/+1 counter on target creature you control. If this spell was cast from a graveyard, also put a +1/+1 counter on each other creature you control.
Flashback {4}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Nasty Little Rabbit,130,U,G,{G},Creature,Rabbit,1,2,"Ferocious — At the beginning of combat on your turn, if you control a creature with power 4 or greater, put a +1/+1 counter on this creature.",No,Rabbit,No,No,No,No,,,,,Yes,
The Hobbit,Nighthowl Pursuer,78,U,B,{B},Creature,Wolf,1,1,"Menace (This creature can't be blocked except by two or more creatures.)
Ferocious — Whenever this creature attacks while you control a creature with power 4 or greater, this creature gets +2/+2 until end of turn.",No,Wolf,No,No,No,No,,,,,Yes,Name corrected from 'Nightwolf Pursuer'.
The Hobbit,"Nori, Teller of Tales",161,C,Multicolour,{1}{R/W},Creature,Dwarf Bard,2,2,"Whenever Nori attacks, target attacking creature gains first strike until end of turn.",Yes,Dwarf Bard,No,No,No,No,,,,,Yes,
The Hobbit,Óin the Brave,106,C,R,{1}{R},Creature,Dwarf Warrior,1,3,"Storied (If you control three or more artifacts, legendaries, and/or Sagas, you have an enduring story for the rest of the game.)
As long as you have an enduring story, Óin gets +1/+0 and has haste.
{1}, {T}, Discard a card: Draw a card.",Yes,Dwarf Warrior,No,No,No,No,,,,,Yes,Name corrected from 'Oin the Brave'.
The Hobbit,Old Fat Spider,132,U,G,{4}{G}{G},Creature,Spider,6,7,"Reach
This creature can't be blocked by creatures with power 2 or less.
Whenever this creature becomes the target of a spell or ability an opponent controls, draw a card.",No,Spider,No,No,No,No,,,,,Yes,
The Hobbit,Old Fat Spider,132,U,G,{4}{G}{G},Creature,Spider,6,7,"Reach
This creature can't be blocked by creatures with power 2 or less.
Whenever this creature becomes the target of a spell or ability an opponent controls, draw a card.",No,Spider,No,No,No,No,,,,,Yes,
The Hobbit,Old Thrush,2,C,Colourless,{2},Creature,Bird,1,2,"Flying
When this creature enters, you gain 2 life. You may search your library for a basic land card, reveal it, then shuffle and put that card on top.",No,Bird,No,No,No,No,,,,,Yes,
The Hobbit,Ordinary Bear,133,C,G,{3}{G},Creature,Bear,4,5,,No,Bear,No,No,No,No,,,,,Yes,
The Hobbit,"Ori, Keeper of Songs",23,C,W,{2}{W},Creature,Dwarf Bard,3,3,"Storied (If you control three or more artifacts, legendaries, and/or Sagas, you have an enduring story for the rest of the game.)
As long as you have an enduring story, Ori gets +1/+0 and has vigilance.",Yes,Dwarf Bard,No,No,No,No,,,,,Yes,
The Hobbit,Patient Instructor,162,C,Multicolour,{2}{W/U},Creature,Human Citizen,2,2,"Vigilance
When this creature enters, recruit. (Draw a card, then discard a card. If you discarded a nonland card, create a 1/1 white Human Soldier creature token.)",No,Human Citizen,No,No,No,No,,,,,Yes,
The Hobbit,Pinecone Strike,107,C,R,{1}{R},Instant,,,,"Choose one or both —
• Pinecone Strike deals 3 damage to target creature. If that creature would die this turn, exile it instead.
• Destroy target artifact token.",No,,No,No,No,No,,,,,Yes,
The Hobbit,Plunder the Trollshaws,51,C,U,{1}{U},Instant,,,,"Draw a card. If this spell was cast from a graveyard, draw two cards instead.
Flashback {3}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Quarrel,135,C,G,{1}{G},Instant,,,,Target creature you control deals damage equal to its power to target creature an opponent controls.,No,,No,No,No,No,,,,,Yes,
The Hobbit,Rage into the Valley,79,C,B,{2}{B},Sorcery,,,,"You draw a card and lose 1 life.
Amass Goblins 2. (Put two +1/+1 counters on an Army you control. It's also a Goblin. If you don't control an Army, create a 0/0 black Goblin Army creature token first.)",No,,No,No,No,No,,,,,Yes,
The Hobbit,Ragged Short Spear,108,C,R,{1}{R},Artifact,Equipment,,,"When this Equipment enters, you may discard a card. If you do, draw two cards.
Equipped creature gets +2/+0.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",No,,No,No,No,No,,,,,Yes,
